dataset,group,time,peer,round,accuracy,loss
cifar10,DL,29.126894,0,3,19.920000,2.124602
cifar10,DL,29.126894,0,3,20.720000,2.163431
cifar10,DL,29.126894,0,3,18.540000,2.182246
cifar10,DL,29.126894,0,3,20.780000,2.186437
cifar10,DL,29.126894,0,3,20.340000,2.098687
cifar10,DL,29.126894,0,3,16.710000,2.182004
cifar10,DL,29.126894,0,3,15.300000,2.177780
cifar10,DL,29.126894,0,3,20.910000,2.115193
cifar10,DL,29.126894,0,3,19.740000,2.204362
cifar10,DL,29.126894,0,3,21.600000,2.195677
cifar10,DL,29.126894,0,3,20.430000,2.208603
cifar10,DL,29.126894,0,3,16.360000,2.190761
cifar10,DL,29.126894,0,3,15.170000,2.158808
cifar10,DL,29.126894,0,3,19.790000,2.119876
cifar10,DL,29.126894,0,3,20.100000,2.119562
cifar10,DL,29.126894,0,3,21.730000,2.190036
cifar10,DL,29.126894,0,3,17.910000,2.285726
cifar10,DL,29.126894,0,3,18.920000,2.174587
cifar10,DL,29.126894,0,3,19.950000,2.182254
cifar10,DL,29.126894,0,3,20.020000,2.168972
cifar10,DL,29.126894,0,3,12.930000,2.317940
cifar10,DL,29.126894,0,3,16.230000,2.338373
cifar10,DL,29.126894,0,3,17.320000,2.253720
cifar10,DL,29.126894,0,3,20.010000,2.213027
cifar10,DL,29.126894,0,3,16.230000,2.307186
cifar10,DL,29.126894,0,3,18.420000,2.146035
cifar10,DL,29.126894,0,3,18.880000,2.170637
cifar10,DL,29.126894,0,3,21.910000,2.155398
cifar10,DL,29.126894,0,3,22.220000,2.086131
cifar10,DL,29.126894,0,3,22.710000,2.088437
cifar10,DL,29.126894,0,3,19.460000,2.164921
cifar10,DL,29.126894,0,3,17.920000,2.143262
cifar10,DL,29.126894,0,3,20.900000,2.168914
cifar10,DL,29.126894,0,3,18.510000,2.136689
cifar10,DL,29.126894,0,3,25.740000,2.068616
cifar10,DL,29.126894,0,3,21.630000,2.128576
cifar10,DL,29.126894,0,3,15.700000,2.260373
cifar10,DL,29.126894,0,3,22.280000,2.189366
cifar10,DL,29.126894,0,3,18.590000,2.136747
cifar10,DL,29.126894,0,3,21.800000,2.173674
cifar10,DL,29.126894,0,3,18.980000,2.143944
cifar10,DL,29.126894,0,3,20.520000,2.133335
cifar10,DL,29.126894,0,3,14.490000,2.302152
cifar10,DL,29.126894,0,3,17.400000,2.106873
cifar10,DL,29.126894,0,3,15.740000,2.231230
cifar10,DL,29.126894,0,3,18.890000,2.204098
cifar10,DL,29.126894,0,3,17.890000,2.174085
cifar10,DL,29.126894,0,3,21.910000,2.061866
cifar10,DL,29.126894,0,3,15.650000,2.190554
cifar10,DL,29.126894,0,3,17.090000,2.214172
cifar10,DL,29.126894,0,3,15.770000,2.188654
cifar10,DL,29.126894,0,3,18.190000,2.205523
cifar10,DL,29.126894,0,3,20.510000,2.160938
cifar10,DL,29.126894,0,3,14.730000,2.365050
cifar10,DL,29.126894,0,3,21.430000,2.110895
cifar10,DL,29.126894,0,3,22.280000,2.126589
cifar10,DL,29.126894,0,3,20.640000,2.134929
cifar10,DL,29.126894,0,3,19.570000,2.213627
cifar10,DL,29.126894,0,3,18.220000,2.157513
